time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-10-18T16:23:44.350Z,41.642,47.638,33,4.5,mb,,,,1.2,us,usp0004xzp,2014-11-07T00:49:25.187Z,"13 km WNW of Kurakh, Russia",earthquake,,,,10,reviewed,us,us
1991-10-10T02:44:49.640Z,41.399,43.259,10,4.4,mb,,,,1.1,us,usp0004xm0,2014-11-07T00:49:23.151Z,"19 km W of Akhalk’alak’i, Georgia",earthquake,,,,3,reviewed,us,us
1991-10-06T01:46:47.580Z,41.096,43.409,18.3,5.1,mw,,,,1.1,us,usp0004xex,2022-04-28T19:00:37.380Z,"24 km SW of Ninotsminda, Georgia",earthquake,,,,,reviewed,us,hrv
1991-09-05T19:23:04.800Z,38.847,41.417,10,4.3,mb,,,,1.3,us,usp0004w9j,2014-11-07T00:49:13.705Z,"14 km NNW of Mu?, Turkey",earthquake,,,,13,reviewed,us,us
1991-08-10T08:57:51.870Z,40.052,42.153,10,4.4,mb,,,,0.9,us,usp0004v6g,2014-11-07T00:49:04.597Z,"1 km NNW of Horasan, Turkey",earthquake,,,,3,reviewed,us,us
1991-07-11T05:58:18.820Z,41.955,43.578,33,4,mb,,,,1.5,us,usp0004u09,2014-11-07T00:48:53.627Z,"4 km SSW of Khashuri, Georgia",earthquake,,,,3,reviewed,us,us
1991-07-04T06:26:31.860Z,42.387,44.116,20.4,5.4,mw,,,,1.3,us,usp0004ts1,2022-04-28T19:06:36.339Z,"14 km E of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-06-30T20:09:18.370Z,42.424,43.688,10,4.5,mb,,,,1,us,usp0004tm3,2014-11-07T00:48:47.948Z,"20 km W of Java, Georgia",earthquake,,,,15,reviewed,us,us
1991-06-19T06:40:28.950Z,40.282,42.971,33,4.6,mb,,,,1.2,us,usp0004t56,2014-11-07T00:48:45.897Z,"19 km NW of Ka??zman, Turkey",earthquake,,,,9,reviewed,us,us
1991-06-17T03:04:45.510Z,42.252,44.222,10,4.5,ms,,,,1.6,us,usp0004t20,2014-11-07T00:48:45.567Z,"21 km E of Ts’khinvali, Georgia",earthquake,,,,1,reviewed,us,us
1991-06-16T11:07:10.690Z,39.984,42.875,25.6,4.6,mb,,,,1.3,us,usp0004t17,2020-08-29T00:50:40.430Z,"26 km NE of Ele?kirt, Turkey",earthquake,,,,19,reviewed,us,us
1991-06-15T00:59:20.310Z,42.461,44.009,9.4,6.3,mw,,,,1.2,us,usp0004sxm,2022-04-28T19:10:00.925Z,"9 km NE of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-06-08T01:12:01.860Z,41.005,43.563,33,4.2,mb,,,,1.3,us,usp0004snj,2014-11-07T00:48:43.531Z,"19 km WNW of Amasia, Armenia",earthquake,,,,6,reviewed,us,us
1991-06-04T00:55:16.380Z,40.6,42.989,10,3.7,mb,,,,0.9,us,usp0004sfw,2014-11-07T00:48:41.916Z,"8 km W of Kars, Turkey",earthquake,,,,2,reviewed,us,us
1991-06-03T10:22:40.440Z,40.048,42.859,27.8,5.2,mw,,,,1.3,us,usp0004sez,2022-04-28T19:09:23.293Z,"26 km WSW of Ka??zman, Turkey",earthquake,,,,,reviewed,us,hrv
1991-05-27T03:40:45.580Z,42.337,45.862,10,3.7,mb,,,,1.5,us,usp0004s4n,2014-11-07T00:48:37.621Z,"26 km WSW of Aknada, Russia",earthquake,,,,3,reviewed,us,us
1991-05-24T07:59:38.830Z,42.679,42.908,10,3.9,mb,,,,0.7,us,usp0004s17,2014-11-07T00:48:37.170Z,"19 km SE of Lent’ekhi, Georgia",earthquake,,,,3,reviewed,us,us
1991-05-23T08:41:32.630Z,42.551,43.159,10,4.4,mb,,,,1,us,usp0004rzy,2014-11-07T00:48:37.069Z,"3 km N of Ambrolauri, Georgia",earthquake,,,,11,reviewed,us,us
1991-05-21T17:37:38.850Z,42.867,48.028,10,5,mb,,,,1.2,us,usp0004rxt,2014-11-07T00:48:36.620Z,Caspian Sea,earthquake,,,,13,reviewed,us,us
1991-05-15T14:28:50.120Z,42.565,43.349,14,4.9,mb,,,,1.2,us,usp0004rpk,2022-04-28T19:14:23.487Z,"7 km WSW of Oni, Georgia",earthquake,,,,50,reviewed,us,us
1991-05-14T09:36:25.490Z,42.609,43.579,10,3.8,mb,,,,1.5,us,usp0004rmu,2014-11-07T00:48:35.328Z,"11 km ENE of Oni, Georgia",earthquake,,,,3,reviewed,us,us
1991-05-11T18:35:19.150Z,43.293,44.543,10,3.8,mb,,,,1.6,us,usp0004rh6,2014-11-07T00:48:34.040Z,"7 km NNW of Dalakovo, Russia",earthquake,,,,4,reviewed,us,us
1991-05-10T20:52:27.340Z,42.534,43.986,10,4.7,mb,,,,1.1,us,usp0004rfx,2022-04-28T19:13:57.629Z,"15 km NNE of Java, Georgia",earthquake,,,,31,reviewed,us,us
1991-05-10T20:30:45.340Z,42.627,43.449,27.7,4.4,mb,,,,1,us,usp0004rfu,2014-11-07T00:48:33.853Z,"5 km N of Oni, Georgia",earthquake,,,,16,reviewed,us,us
1991-05-10T01:25:15.610Z,42.496,43.153,10,4.6,mb,,,,1,us,usp0004rf3,2014-11-07T00:48:33.756Z,"2 km SSW of Ambrolauri, Georgia",earthquake,,,,21,reviewed,us,us
1991-05-07T09:01:23.640Z,42.606,43.125,10,4.2,mb,,,,0.7,us,usp0004rc4,2014-11-07T00:48:33.396Z,"9 km NNW of Ambrolauri, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-06T02:54:24.440Z,41.903,43.288,33,4,mb,,,,1.4,us,usp0004raa,2014-11-07T00:48:33.110Z,"11 km NW of Borjomi, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-06T01:35:27.940Z,42.747,43.126,10,4.4,mb,,,,1.4,us,usp0004ra9,2014-11-07T00:48:33.106Z,"25 km N of Ambrolauri, Georgia",earthquake,,,,10,reviewed,us,us
1991-05-04T04:53:35.620Z,42.154,43.509,10,4.2,mb,,,,1.4,us,usp0004r77,2014-11-07T00:48:32.553Z,"14 km NNW of Surami, Georgia",earthquake,,,,5,reviewed,us,us
1991-05-03T23:41:01.870Z,42.647,43.263,10.8,5.2,mb,,,,1.1,us,usp0004r6r,2022-04-28T19:12:56.144Z,"16 km NNE of Ambrolauri, Georgia",earthquake,,,,64,reviewed,us,us
1991-05-03T20:19:38.860Z,42.683,43.247,10,5.6,mw,,,,1.2,us,usp0004r6m,2022-04-28T19:12:54.682Z,"19 km NNE of Ambrolauri, Georgia",earthquake,,,,,reviewed,us,hrv
1991-05-03T06:12:54.230Z,41.933,43.8,33,4.2,mb,,,,1,us,usp0004r60,2014-11-07T00:48:32.072Z,"11 km S of Agara, Georgia",earthquake,,,,5,reviewed,us,us
1991-05-03T06:08:37.170Z,42.482,43.363,10,4.6,mb,,,,0.9,us,usp0004r5z,2014-11-07T00:48:32.040Z,"12 km SSW of Oni, Georgia",earthquake,,,,10,reviewed,us,us
1991-05-02T09:44:41.410Z,42.483,43.507,10,4.5,mb,,,,1.1,us,usp0004r4w,2014-11-07T00:48:31.633Z,Russia-Georgia border region,earthquake,,,,17,reviewed,us,us
1991-05-02T09:00:35.240Z,42.704,43.692,10,4.1,mb,,,,1.3,us,usp0004r4r,2014-11-07T00:48:31.614Z,"24 km NE of Oni, Georgia",earthquake,,,,6,reviewed,us,us
1991-05-02T04:30:53.910Z,42.481,43.201,10,3.9,mb,,,,1.2,us,usp0004r4j,2014-11-07T00:48:31.462Z,"5 km SE of Ambrolauri, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-02T03:42:26.110Z,42.608,43.477,10,4,mb,,,,0.9,us,usp0004r4h,2014-11-07T00:48:31.456Z,"4 km NE of Oni, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-02T02:18:00.100Z,42.211,43.906,10,4.1,mb,,,,0.6,us,usp0004r4e,2014-11-07T00:48:31.423Z,"5 km WSW of Ts’khinvali, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-02T02:07:31.620Z,41.344,45.173,10,4.3,mb,,,,1.2,us,usp0004r4d,2014-11-07T00:48:31.418Z,Georgia-Azerbaijan border region,earthquake,,,,3,reviewed,us,us
1991-05-02T01:25:30.140Z,42.541,43.96,10,5.1,mb,,,,1.3,us,usp0004r4c,2022-04-28T19:12:50.187Z,"15 km N of Java, Georgia",earthquake,,,,46,reviewed,us,us
1991-05-01T23:19:11.840Z,42.719,44.053,10,4.1,mb,,,,1.1,us,usp0004r47,2014-11-07T00:48:31.337Z,"14 km S of Mizur, Russia",earthquake,,,,6,reviewed,us,us
1991-05-01T14:37:53.790Z,42.458,43.374,10,3.8,mb,,,,1.2,us,usp0004r3u,2014-11-07T00:48:31.237Z,"13 km NNW of Sach’khere, Georgia",earthquake,,,,2,reviewed,us,us
1991-05-01T14:04:54.090Z,42.957,42.677,10,3.9,mb,,,,0.6,us,usp0004r3t,2014-11-07T00:48:31.229Z,Georgia (Sak'art'velo),earthquake,,,,4,reviewed,us,us
1991-05-01T05:13:35.350Z,42.505,43.434,10,4.8,mb,,,,1.3,us,usp0004r2z,2022-04-28T19:12:48.542Z,"8 km S of Oni, Georgia",earthquake,,,,18,reviewed,us,us
1991-05-01T03:38:08.050Z,41.977,42.826,10,4,mb,,,,1.2,us,usp0004r2v,2014-11-07T00:48:30.236Z,"22 km SW of Zest’aponi, Georgia",earthquake,,,,4,reviewed,us,us
1991-05-01T03:06:50.260Z,42.405,43.784,10,4.5,mb,,,,1.3,us,usp0004r2u,2014-11-07T00:48:30.201Z,"12 km W of Java, Georgia",earthquake,,,,7,reviewed,us,us
1991-05-01T01:15:46.110Z,43.604,45.556,10,3.8,mb,,,,1.4,us,usp0004r2s,2014-11-07T00:48:30.149Z,"4 km NE of Kalinovskaya, Russia",earthquake,,,,3,reviewed,us,us
1991-04-30T16:07:38.980Z,42.491,43.23,10,4.6,mb,,,,0.9,us,usp0004r28,2014-11-07T00:48:28.597Z,"6 km ESE of Ambrolauri, Georgia",earthquake,,,,15,reviewed,us,us
1991-04-30T15:19:04.740Z,41.975,43.59,10,4.1,mb,,,,1,us,usp0004r22,2014-11-07T00:48:28.588Z,"2 km SSW of Khashuri, Georgia",earthquake,,,,3,reviewed,us,us
1991-04-30T12:44:52.010Z,42.757,42.757,10,4.3,mb,,,,1.4,us,usp0004r1y,2014-11-07T00:48:28.545Z,"4 km SE of Lent’ekhi, Georgia",earthquake,,,,3,reviewed,us,us
1991-04-30T11:15:29.480Z,42.599,43.49,10,4.8,mb,,,,1,us,usp0004r1t,2022-04-28T19:20:27.685Z,"4 km ENE of Oni, Georgia",earthquake,,,,34,reviewed,us,us
1991-04-30T10:39:44.350Z,42.551,43.268,10,3.8,mb,,,,0.7,us,usp0004r1r,2014-11-07T00:48:28.488Z,"9 km ENE of Ambrolauri, Georgia",earthquake,,,,4,reviewed,us,us
1991-04-30T08:32:25.220Z,42.071,43.888,10,4.4,mb,,,,1,us,usp0004r1n,2014-11-07T00:48:28.483Z,"6 km NE of Agara, Georgia",earthquake,,,,4,reviewed,us,us
1991-04-30T08:29:57.330Z,42.354,43.463,10,4.2,mb,,,,1.4,us,usp0004r1m,2014-11-07T00:48:28.480Z,"3 km ENE of Sach’khere, Georgia",earthquake,,,,8,reviewed,us,us
1991-04-30T02:28:26.520Z,41.947,44.006,10,3.9,mb,,,,1.2,us,usp0004r18,2014-11-07T00:48:28.444Z,"9 km WSW of Gori, Georgia",earthquake,,,,4,reviewed,us,us
1991-04-29T23:32:29.050Z,42.571,43.891,10,4.6,ms,,,,1.3,us,usp0004r15,2014-11-07T00:48:28.416Z,"19 km N of Java, Georgia",earthquake,,,,4,reviewed,us,us
