time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-12-19T14:59:58.540Z,40.934,47.816,33,4.6,mb,,,,1.5,us,usp0006q7j,2014-11-07T00:56:58.769Z,"6 km SSW of Qutqashen, Azerbaijan",earthquake,,,,10,reviewed,us,us
1994-12-15T01:17:22.170Z,38.949,40.302,10,3.9,ml,,,,1.1,us,usp0006q2e,2014-11-07T00:56:58.057Z,"18 km WNW of Bingöl, Turkey",earthquake,,,,,reviewed,us,isk
1994-12-12T13:14:06.840Z,42.501,43.402,33,4.4,mb,,,,1.3,us,usp0006pyz,2014-11-07T00:56:57.486Z,"9 km SSW of Oni, Georgia",earthquake,,,,24,reviewed,us,us
1994-11-14T07:54:14.820Z,40.163,40.399,10,3.9,ml,,,,1.3,us,usp0006nma,2014-11-07T00:56:47.258Z,"18 km SE of Bayburt, Turkey",earthquake,,,,,reviewed,us,isk
1994-10-28T13:47:33.450Z,39.361,40.784,10,3.8,ml,,,,0.4,us,usp0006mun,2014-11-07T00:56:34.297Z,"20 km WNW of Karl?ova, Turkey",earthquake,,,,,reviewed,us,isk
1994-10-12T07:44:01.520Z,42.371,44.43,10,4.3,mb,,,,1.6,us,usp0006m06,2014-11-07T00:56:30.659Z,"12 km SSW of Gudauri, Georgia",earthquake,,,,3,reviewed,us,us
1994-09-21T08:53:23.800Z,42.465,43.535,33,4.4,mb,,,,1.3,us,usp0006jta,2014-11-07T00:56:19.083Z,"14 km SSE of Oni, Georgia",earthquake,,,,8,reviewed,us,us
1994-09-19T15:23:42.220Z,42.631,43.049,33,4.4,mb,,,,1.4,us,usp0006jq2,2014-11-07T00:56:18.697Z,"15 km NW of Ambrolauri, Georgia",earthquake,,,,15,reviewed,us,us
1994-09-05T22:28:06.610Z,39.585,40.209,10,3.4,ml,,,,1.5,us,usp0006j06,2014-11-07T00:56:13.886Z,"25 km SW of Tercan, Turkey",earthquake,,,,,reviewed,us,isk
1994-09-05T20:13:05.820Z,42.242,46.434,146.2,3.8,mb,,,,0.4,us,usp0006j03,2014-11-07T00:56:13.817Z,"16 km NNE of Tlyarata, Russia",earthquake,,12.1,,2,reviewed,us,us
1994-09-05T19:13:17.670Z,41.905,46.231,61.6,4.7,mb,,,,1,us,usp0006j02,2014-11-07T00:56:13.804Z,"9 km NNW of Lagodekhi, Georgia",earthquake,,6.7,,51,reviewed,us,us
1994-08-23T10:45:25.300Z,43.894,44.49,33,3.8,mb,,,,1,us,usp0006hcj,2014-11-07T00:56:07.207Z,"17 km S of Kurskaya, Russia",earthquake,,,,2,reviewed,us,us
1994-06-25T05:00:46.470Z,41.777,43.697,33,4.4,mb,,,,1.3,us,usp0006est,2014-11-07T00:55:44.465Z,"14 km E of Bak’uriani, Georgia",earthquake,,,,8,reviewed,us,us
1994-06-05T01:20:02.840Z,42.414,43.064,33,4.3,mb,,,,1.1,us,usp0006drg,2014-11-07T00:55:39.323Z,"9 km NE of T’q’ibuli, Georgia",earthquake,,,,4,reviewed,us,us
1994-05-18T17:18:52.910Z,41.133,43.982,10,4.5,mb,,,,1.1,us,usp0006cs9,2014-11-07T00:55:29.523Z,"22 km WSW of Metsavan, Armenia",earthquake,,,,4,reviewed,us,us
1994-05-02T18:14:05.320Z,40.306,43.13,59.4,4.5,mb,,,,1,us,usp0006bxh,2014-11-07T00:55:25.215Z,"16 km N of Ka??zman, Turkey",earthquake,,,,15,reviewed,us,us
1994-04-17T08:02:32.030Z,41.948,46.317,33,5,mb,,,,1.3,us,usp0006b7k,2022-04-28T17:45:55.979Z,Russia-Georgia-Azerbaijan border region,earthquake,,,,69,reviewed,us,us
1994-04-10T13:40:47.080Z,43.049,46.18,85.6,4.7,mb,,,,1.3,us,usp0006aww,2014-11-07T00:55:17.358Z,"5 km NW of Tsentoroy, Russia",earthquake,,6.4,,47,reviewed,us,us
1994-03-04T23:08:13.060Z,41.733,45.257,10,4.4,mb,,,,1.2,us,usp000698v,2014-11-07T00:55:06.611Z,"6 km W of Sagarejo, Georgia",earthquake,,,,11,reviewed,us,us
1994-02-24T22:32:25.660Z,39.971,40.574,10,4.1,ml,,,,0.2,us,usp00068z2,2014-11-07T00:55:01.367Z,"11 km WNW of A?kale, Turkey",earthquake,,,,,reviewed,us,isk
1994-02-15T22:29:27.460Z,44.208,39.427,33,4.6,mb,,,,1.2,us,usp00068jx,2014-11-07T00:54:59.392Z,"25 km SSW of Khadyzhensk, Russia",earthquake,,,,47,reviewed,us,us
1994-02-11T17:40:07.830Z,42.478,43.726,16,4.5,mb,,,,1.1,us,usp00068cv,2014-11-07T00:54:58.101Z,"19 km WNW of Java, Georgia",earthquake,,,,23,reviewed,us,us
1994-02-01T01:16:46.510Z,44.821,39.863,41.7,4.1,mb,,,,1.2,us,usp00067u2,2014-11-07T00:54:53.251Z,"5 km NNW of Belorechensk, Russia",earthquake,,9.1,,22,reviewed,us,us
1993-12-21T05:27:36.770Z,39.41,37.653,10,3.5,m,,,,0.1,us,usp00065dt,2014-11-07T00:54:37.482Z,"29 km NE of Kangal, Turkey",earthquake,,,,,reviewed,us,dda
1993-10-15T22:37:19.670Z,40.744,48.105,56.1,4.8,mb,,,,1.1,us,usp000622d,2014-11-07T00:54:12.778Z,"5 km SW of ?smay?ll?, Azerbaijan",earthquake,,,,17,reviewed,us,us
1993-07-22T01:54:56.840Z,39.533,40.116,10.6,4.6,mb,,,,1.4,us,usp0005x4u,2014-11-07T00:53:32.501Z,"19 km ENE of Pulumer, Turkey",earthquake,,4.8,,29,reviewed,us,us
1993-06-21T00:32:51.560Z,39.2,40.401,10,4.2,mb,,,,1,us,usp0005uxx,2014-11-07T00:53:17.771Z,"28 km SSW of Yedisu, Turkey",earthquake,,,,15,reviewed,us,us
1993-06-14T19:59:42.680Z,39.624,38.41,26.1,5,mb,,,,1.2,us,usp0005uk9,2022-04-28T18:09:11.819Z,"23 km NNW of ?liç, Turkey",earthquake,,5.5,,79,reviewed,us,us
1993-06-07T07:14:27.620Z,39.924,46.273,36.1,4.4,mb,,,,1.5,us,usp0005u5g,2014-11-07T00:53:11.582Z,"27 km WSW of Vank, Azerbaijan",earthquake,,10.1,,10,reviewed,us,us
1993-06-04T21:56:25.480Z,42.969,43.613,33,4.2,mb,,,,0.7,us,usp0005u0y,2014-11-07T00:53:10.827Z,"21 km SE of Verkhnyaya Balkariya, Russia",earthquake,,,,10,reviewed,us,us
1993-05-04T22:39:25.270Z,42.595,45.178,17.5,4.8,mb,,,,1.1,us,usp0005s7f,2022-04-28T18:11:05.828Z,"36 km WSW of Itum-Kali, Russia",earthquake,,,,55,reviewed,us,us
1993-05-01T06:47:47.300Z,38.939,48.896,33,4.1,mb,,,,0.6,us,usp0005s1c,2014-11-07T00:52:55.407Z,"16 km E of Boradigah, Azerbaijan",earthquake,,,,3,reviewed,us,us
1993-04-27T20:07:04.210Z,42.753,43.828,16.4,4.6,mb,,,,1.3,us,usp0005rvh,2014-11-07T00:52:52.584Z,"21 km WSW of Mizur, Russia",earthquake,,,,30,reviewed,us,us
1993-04-19T05:19:50.710Z,44.345,43.807,33,4,mb,,,,0.8,us,usp0005rdq,2014-11-07T00:52:50.439Z,"4 km WNW of Otkaznoye, Russia",earthquake,,,,5,reviewed,us,us
1993-03-29T00:58:19.140Z,42.627,45.336,10,4.4,mb,,,,1.2,us,usp0005qa6,2014-11-07T00:52:40.007Z,"23 km WSW of Itum-Kali, Russia",earthquake,,,,9,reviewed,us,us
1993-03-19T20:05:20.530Z,41.931,46.693,67,4.5,mb,,,,1.5,us,usp0005ptv,2014-11-07T00:52:36.946Z,"33 km NE of Belokany, Azerbaijan",earthquake,,8.7,,23,reviewed,us,us
1993-03-10T16:03:24.910Z,42.493,43.775,33,4,mb,,,,1.1,us,usp0005p99,2014-11-07T00:52:34.327Z,"16 km NW of Java, Georgia",earthquake,,,,6,reviewed,us,us
